,Claim Reference,Policy Year,Policy Description,Directorate Description,Department Name,Incident Date,Notification Date,Status Flag,Payment Year,Payment Date,Payment Type, Amount,Cause Description,Injury Description,Damage Description
792,N0PUL000430,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-10-06,2010-12-06,CLOSED,2013,2013-03-06,Fees Own Solicitor,1740.0,Carriageway - Other,Combination Other:,
793,N0EL000016,2010,Employers Liability,CHIEF EXECUTIVES OFFICE,Asset & Facilities Management,2010-12-17,2011-12-21,CLOSED,2013,2013-03-06,Compensation payment,1750.0,"Ice, Snow & Frost",Back Strains/Sprains,
794,N1OI000002,2011,Officials Indemnity,DEVELOPMENT & ENVIRONMENT,Planning & Environment - Other,2011-07-30,2012-05-21,CLOSED,2013,2013-03-06,Fees Own Solicitor,1855.0,Other,,Unknown
795,N2MF000039,2012,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",Youth Centres,2012-08-20,2012-08-21,CLOSED,2013,2013-03-06,Compensation payment,1999.68,Collision - Hit in rear,Whiplash,Bodywork - Extensive
796,N2PUL000156,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-08-27,2012-09-08,CLOSED,2013,2013-03-06,Compensation payment,2000.0,Footways - Cracks,Combination,
797,N1MF000135,2011,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2012-01-13,2012-01-13,CLOSED,2013,2013-03-06,Compensation payment,2018.98,Collision - Losing control,,
798,N1MF000019,2011,Motor Fleet,ADULT SOCIAL SERVICES,ADULT SOCIAL SERVICES,2011-06-21,2011-06-27,CLOSED,2013,2013-03-06,Compensation payment,2065.57,Collision - Hit rear,,Bodywork - Minor
799,N1MF000057,2011,Motor Fleet,ADULT SOCIAL SERVICES,Adult Social Services - Other,2011-08-22,2011-08-23,CLOSED,2013,2013-03-06,Compensation payment,2082.81,Other,,Bodywork - Extensive
800,N2MF000041,2012,Motor Fleet,ADULT SOCIAL SERVICES,ADULT SOCIAL SERVICES,2012-09-04,2012-09-04,CLOSED,2013,2013-03-06,Compensation payment,2198.36,Collision - Hit rear,Whiplash,Bodywork - Extensive
801,N1MF000039,2011,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Highways,2011-07-25,2011-07-25,CLOSED,2013,2013-03-06,Compensation payment,2254.52,Collision - Hit parked vehicle,,
802,N1PUL000334,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-03-10,2012-05-02,CLOSED,2013,2013-03-06,Compensation payment,2285.0,Footways - Uneven Surface,Ankle Broken/fractured,
803,N1MF000053,2011,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Waste Disposal,2011-08-16,2011-08-16,CLOSED,2013,2013-03-06,Compensation payment,2334.52,Other,,Bodywork - Extensive
804,N2MF000071,2012,Motor Fleet,DEVELOPMENT & ENVIRONMENT,PLANNING & ENVIRONMENT,2012-11-16,2012-11-16,CLOSED,2013,2013-03-06,Compensation payment,3033.09,Collision - Hit rear,,Broken Number Plate
805,N1MF000046,2011,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Housing Dso,2011-08-03,2011-08-04,CLOSED,2013,2013-03-06,Compensation payment,3049.5,Collision - Hit by TP,,Bodywork - Extensive
806,N1MF000120,2011,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2011-12-19,2011-12-20,CLOSED,2013,2013-03-06,Compensation payment,3710.31,Collision - Reversing,,Bodywork - Minor
807,N2MF000041,2012,Motor Fleet,ADULT SOCIAL SERVICES,ADULT SOCIAL SERVICES,2012-09-04,2012-09-04,CLOSED,2013,2013-03-06,Compensation payment,4368.11,Collision - Hit rear,Whiplash,Bodywork - Extensive
808,N1MF000040,2011,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Cemetries,2011-07-27,2011-07-27,CLOSED,2013,2013-03-06,Compensation payment,5328.88,Collision - Reversing,,
809,N1MF000149,2011,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2012-02-19,2012-02-24,CLOSED,2013,2013-03-06,Compensation payment,6457.23,Collision - Reversing,,Bodywork - Minor
810,N2PUL000034,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-04-28,2012-05-17,CLOSED,2013,2013-03-06,Fees TP Solicitor,6500.0,Footways - Uneven Surface,Combination,
811,N1PUL000313,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing - Other,2012-01-07,2012-03-08,CLOSED,2013,2013-03-06,Compensation payment,6585.88,Defective Premises,Hand Injury,
812,N1MF000057,2011,Motor Fleet,ADULT SOCIAL SERVICES,Adult Social Services - Other,2011-08-22,2011-08-23,CLOSED,2013,2013-03-06,Compensation payment,6644.13,Other,,Bodywork - Extensive
813,N1MF000046,2011,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Housing Dso,2011-08-03,2011-08-04,CLOSED,2013,2013-03-06,Compensation payment,6857.1,Collision - Hit by TP,,Bodywork - Extensive
814,N0PUL000110,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,SOUTH NORWOOD LAKE,2010-05-24,2010-07-14,CLOSED,2013,2013-03-06,Fees Own Solicitor,7010.0,Footways - Other,Combination Bruising/Swelling,
815,N1MF000099,2011,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Ecpp - Other,2011-10-13,2011-10-17,CLOSED,2013,2013-03-06,Compensation payment,10404.0,Collision - Hit rear,,Bodywork - Minor
816,N2SAR000014,2012,Schools All Risks,OPERATIONS NOT NOW INSURED,Archbishop Lanfranc School,2012-11-21,2012-12-04,CLOSED,2013,2013-03-06,Compensation payment,15934.2,Subsidence,,Drive/Hardstanding
817,N2SAR000015,2012,Schools All Risks,OPERATIONS NOT NOW INSURED,Spring Park Primary,2013-01-25,2013-02-12,CLOSED,2013,2013-03-06,Compensation payment,23965.5,Theft - Computer,,Computers
818,N2PUL000098,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-07-13,2012-07-13,CLOSED,2013,2013-03-14,Compensation payment,76.34,Carriageway - Pothole,,Goods/Equipment
819,N0PUL000583,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2011-01-22,2011-02-04,CLOSED,2013,2013-03-15,Fees Own Solicitor,823.0,Tree Roots / Subsidence,,Structural
820,N0PUL000500,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2010-11-24,2010-12-08,CLOSED,2013,2013-03-15,Fees Own Solicitor,847.0,Tree Roots / Subsidence,,Structural
821,N0PUL000681,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2010-12-23,2011-07-20,CLOSED,2013,2013-03-15,Fees Own Solicitor,904.5,Footways - Roots,,Structural
822,N2FB000032,2012,Fire Blanket,OPERATIONS NOT NOW INSURED,Fairchildes Primary,2013-02-22,2013-02-26,CLOSED,2013,2013-03-19,Compensation payment,978.5,Malicious Damage/Vandalism - External,,Windows
823,N2SAR000010,2012,Schools All Risks,"CHILDREN, FAMILIES & LEARNERS",Heavers Farm Primary,2012-09-28,2012-10-23,CLOSED,2013,2013-03-19,Compensation payment,2767.14,Theft - Computer,,Computers
824,N2PUL000324,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-28,2013-01-17,CLOSED,2013,2013-03-26,Compensation payment,74.45,Carriageway - Pothole,,Vehicle
825,N2PUL000302,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-27,2013-01-07,CLOSED,2013,2013-03-26,Compensation payment,100.8,Uncoded,,Vehicle
826,N2PUL000288,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-28,2013-01-02,CLOSED,2013,2013-03-26,Compensation payment,252.0,Carriageway - Pothole,,Vehicle
827,N2PUL000283,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-27,2012-12-28,CLOSED,2013,2013-03-26,Compensation payment,371.81,Carriageway - Pothole,,Vehicle
828,N0PUL000413,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2010-10-19,2010-10-29,CLOSED,2013,2013-03-27,Compensation payment,6000.0,Tree Roots / Subsidence,,Structural
829,N2PUL000241,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-11-10,2012-11-12,CLOSED,2013,2013-04-02,Compensation payment,108.0,Carriageway - Pothole,,Vehicle
830,N2PUL000281,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-28,2012-12-30,CLOSED,2013,2013-04-02,Compensation payment,325.41,Carriageway - Pothole,,Vehicle
831,N2MF000104,2012,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2012-12-20,2012-12-21,CLOSED,2013,2013-04-05,Compensation payment,34.8,Collision - Hit parked vehicle,,Bodywork - Minor
832,N2PUL000154,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing - Other,2012-08-17,2012-09-12,CLOSED,2013,2013-04-05,Fees TP Solicitor,400.0,Footways - Cracks,Bruising/Swelling,
833,N2MF000109,2012,Motor Fleet,DEVELOPMENT & ENVIRONMENT,HOUSING,2013-01-28,2013-01-28,CLOSED,2013,2013-04-05,Compensation payment,480.0,Collision - Hit rear,,Bumper - Front
834,N2MF000109,2012,Motor Fleet,DEVELOPMENT & ENVIRONMENT,HOUSING,2013-01-28,2013-01-28,CLOSED,2013,2013-04-05,Compensation payment,607.23,Collision - Hit rear,,Bumper - Front
835,N1PUL000198,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing - Other,2011-06-13,2011-12-07,CLOSED,2013,2013-04-05,Fees Own Solicitor,700.0,Falls / Slips - Steps,Ankle Broken/fractured,
836,N2MF000047,2012,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",Coningsby  Centre  PRU,2012-05-21,2012-09-04,CLOSED,2013,2013-04-05,Compensation payment,851.08,Collision - Hit parked vehicle,,
837,N1MF000099,2011,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Ecpp - Other,2011-10-13,2011-10-17,CLOSED,2013,2013-04-05,Compensation payment,1144.8,Collision - Hit rear,,Bodywork - Minor
838,N2SAR000011,2012,Schools All Risks,OPERATIONS NOT NOW INSURED,Kingsley Primary,2012-10-15,2012-10-25,CLOSED,2013,2013-04-05,Compensation payment,1626.85,Theft - Computer,,Contents
839,N1PUL000141,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-07-17,2011-10-19,CLOSED,2013,2013-04-05,CRU,2211.0,Footways - Slabs,Arms Broken Bones,
840,N1PUL000141,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-07-17,2011-10-19,CLOSED,2013,2013-04-05,Compensation payment,12313.5,Footways - Slabs,Arms Broken Bones,
841,N2PUL000078,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-07,2012-07-04,CLOSED,2013,2013-04-08,Compensation payment,727.7,Carriageway - Pothole,,Vehicle
842,N2PUL000301,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-27,2013-01-04,CLOSED,2013,2013-04-09,Compensation payment,78.0,Carriageway - Pothole,,Vehicle
843,N0PUL000110,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,SOUTH NORWOOD LAKE,2010-05-24,2010-07-14,CLOSED,2013,2013-04-11,CRU,762.0,Footways - Other,Combination Bruising/Swelling,
844,N1PUL000162,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-09-17,2011-11-04,CLOSED,2013,2013-04-13,Fees Own Solicitor,243.0,Footways - Uneven Surface,Broken Bones,
845,N2PUL000025,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-04-28,2012-05-09,CLOSED,2013,2013-04-15,Compensation payment,175.0,Carriageway - Pothole,,Vehicle
846,N1FB000019,2011,Fire Blanket,OPERATIONS NOT NOW INSURED,The Crescent Primary School,2011-11-16,2011-11-16,CLOSED,2013,2013-04-29,Compensation payment,7652.55,Theft - Lead & Lead Flashings,,Roof - Lead
847,N2PUL000304,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-27,2013-01-05,CLOSED,2013,2013-04-30,Compensation payment,456.63,Carriageway - Pothole,,Vehicle
848,N2PUL000314,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-26,2013-01-09,CLOSED,2013,2013-05-07,Compensation payment,229.2,Carriageway - Pothole,,Vehicle
849,N2PUL000453,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,STUBBS MEAD DEPOT,2013-02-27,2013-03-05,CLOSED,2013,2013-05-07,Compensation payment,253.95,Defective Premises,,Vehicle
850,N2PUL000303,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-28,2013-01-07,CLOSED,2013,2013-05-07,Compensation payment,328.45,Uncoded,,Vehicle
851,N2PUL000407,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,STUBBS MEAD DEPOT,2013-02-22,2013-03-06,CLOSED,2013,2013-05-08,Compensation payment,16.99,Defective Premises,,Vehicle
852,N2PUL000285,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-28,2012-12-28,CLOSED,2013,2013-05-08,Compensation payment,34.99,Carriageway - Pothole,,Vehicle
853,N2PUL000284,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-28,2012-12-28,CLOSED,2013,2013-05-08,Compensation payment,175.2,Carriageway - Pothole,,Vehicle
854,N2FB000020,2012,Fire Blanket,DEVELOPMENT & ENVIRONMENT,HALING GROVE PARK,2012-09-09,2012-09-11,CLOSED,2013,2013-05-08,Compensation payment,24852.37,Fire - Arson,,Roof
855,N0PUL000565,2010,Public Liability,CHIEF EXECUTIVES OFFICE,Estates & Valuation,2010-12-08,2011-02-14,CLOSED,2013,2013-05-09,CRU,526.5,Footways - Slabs,Legs Bruising/Swelling,
856,N0PUL000706,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing - Other,2010-11-11,2012-03-14,CLOSED,2013,2013-05-09,Fees Own Solicitor,658.0,Falls / Slips - Steps,Legs Strains/Sprains,
857,N2PUL000069,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-22,2012-06-26,CLOSED,2013,2013-05-09,CRU,679.5,Footways - Uneven Surface,Combination Bruising/Swelling,
858,N1PUL000089,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-07-12,2011-08-17,CLOSED,2013,2013-05-09,CRU,700.0,Footways - Other,Legs Cuts/Scars,
859,N2PUL000075,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-30,2012-06-28,CLOSED,2013,2013-05-09,CRU,755.0,Footways - Kerbs,Foot Injury,
860,N2PUL000034,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-04-28,2012-05-17,CLOSED,2013,2013-05-09,Fees Own Solicitor,968.0,Footways - Uneven Surface,Combination,
861,N2PUL000069,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-22,2012-06-26,CLOSED,2013,2013-05-09,Compensation payment,1665.0,Footways - Uneven Surface,Combination Bruising/Swelling,
862,N2PUL000075,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-30,2012-06-28,CLOSED,2013,2013-05-09,Compensation payment,2000.0,Footways - Kerbs,Foot Injury,
863,N2PUL000075,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-30,2012-06-28,CLOSED,2013,2013-05-09,Fees TP Solicitor,2250.0,Footways - Kerbs,Foot Injury,
864,N1PUL000089,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-07-12,2011-08-17,CLOSED,2013,2013-05-09,Compensation payment,3000.0,Footways - Other,Legs Cuts/Scars,
865,N1PUL000334,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-03-10,2012-05-02,CLOSED,2013,2013-05-09,Fees TP Solicitor,5852.63,Footways - Uneven Surface,Ankle Broken/fractured,
866,N0PUL000378,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2010-03-31,2010-05-26,CLOSED,2013,2013-05-09,Fees TP Solicitor,6500.0,Carriageway - Pothole,Ankle Broken/fractured,
867,N1PUL000299,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-05-23,2012-03-12,CLOSED,2013,2013-05-09,Compensation payment,7125.0,Footways - Pothole,Arms Broken Bones,
868,N0PUL000565,2010,Public Liability,CHIEF EXECUTIVES OFFICE,Estates & Valuation,2010-12-08,2011-02-14,CLOSED,2013,2013-05-09,Fees TP Solicitor,7500.0,Footways - Slabs,Legs Bruising/Swelling,
869,N1PUL000313,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing - Other,2012-01-07,2012-03-08,CLOSED,2013,2013-05-09,Fees TP Solicitor,7500.0,Defective Premises,Hand Injury,
870,N1PUL000378,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-02-23,2012-08-06,CLOSED,2013,2013-05-09,CRU,14500.0,Footways - Roots,Teeth Chipped/broken,
871,N2PUL000294,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-28,2013-01-02,CLOSED,2013,2013-05-13,Compensation payment,100.0,Carriageway - Pothole,,Vehicle
872,N2PUL000344,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-01-01,2013-01-30,CLOSED,2013,2013-05-13,Compensation payment,100.0,Carriageway - Pothole,,Vehicle
873,N2FB000028,2012,Fire Blanket,"CHILDREN, FAMILIES & LEARNERS",Courtwood Primary,2013-01-22,2013-01-23,CLOSED,2013,2013-05-14,Compensation payment,13.65,Water Damage - Pipe/Radiator,,Various
874,N2PUL000404,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-02-26,2013-03-06,CLOSED,2013,2013-05-14,Compensation payment,169.95,Carriageway - Pothole,,Vehicle
875,N2IF000005,2012,Insurance Fund,"CHILDREN, FAMILIES & LEARNERS",Howard Primary,2013-03-21,2013-04-15,CLOSED,2013,2013-05-14,Compensation payment,654.45,Theft - Computer,,Computers
876,N2PUL000287,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-27,2012-12-28,CLOSED,2013,2013-05-28,Compensation payment,75.0,Carriageway - Pothole,,Vehicle
877,N2PUL000357,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-02-01,2013-02-05,CLOSED,2013,2013-05-28,Compensation payment,77.94,Carriageway - Pothole,,Vehicle
878,N2PUL000418,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-28,2013-03-14,CLOSED,2013,2013-05-28,Compensation payment,231.48,Carriageway - Pothole,,Vehicle
879,N2PUL000388,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-02-12,2013-02-27,CLOSED,2013,2013-05-28,Compensation payment,240.0,Carriageway - Pothole,,Vehicle
880,N2FB000028,2012,Fire Blanket,"CHILDREN, FAMILIES & LEARNERS",Courtwood Primary,2013-01-22,2013-01-23,CLOSED,2013,2013-05-28,Compensation payment,1801.16,Water Damage - Pipe/Radiator,,Various
881,N2FB000029,2012,Fire Blanket,OPERATIONS NOT NOW INSURED,St. Marys Catholic Infant,2012-11-24,2012-12-17,CLOSED,2013,2013-05-28,Compensation payment,2469.0,Storm,,Glass Structures
882,N1FB000025,2011,Fire Blanket,DEVELOPMENT & ENVIRONMENT,PARKHILL,2012-02-09,2012-02-14,CLOSED,2013,2013-05-28,Compensation payment,9157.25,Malicious Damage/Vandalism - External,,Roof
883,N2MF000123,2012,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Car Parking,2013-02-21,2013-03-11,CLOSED,2013,2013-06-07,Compensation payment,72.0,Collision - Hit in rear,Legs Bruising/Swelling,Bodywork - Minor
884,N1MF000012,2011,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",Archbishop Tenisons C of E,2011-05-04,2011-06-02,CLOSED,2013,2013-06-07,Compensation payment,1006.0,Collision - Hit rear,,Bodywork - Minor
885,N2MF000132,2012,Motor Fleet,DEVELOPMENT & ENVIRONMENT,PLANNING & ENVIRONMENT,2013-03-21,2013-04-03,CLOSED,2013,2013-06-07,Compensation payment,1815.31,Collision - Side on,,
886,N2MF000109,2012,Motor Fleet,DEVELOPMENT & ENVIRONMENT,HOUSING,2013-01-28,2013-01-28,CLOSED,2013,2013-06-07,Compensation payment,5597.88,Collision - Hit rear,,Bumper - Front
887,N2FB000035,2012,Fire Blanket,DEVELOPMENT & ENVIRONMENT,Parks,2013-03-19,2013-03-20,CLOSED,2013,2013-06-07,Compensation payment,36166.0,Malicious Damage/Vandalism - Internal,,Various
888,N2PUL000347,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-12-27,2013-01-30,CLOSED,2013,2013-06-11,Compensation payment,296.5,Uncoded,,Vehicle
889,N2PUL000342,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-01-26,2013-01-30,CLOSED,2013,2013-06-11,Compensation payment,596.65,Carriageway - Pothole,,Vehicle
890,N2PUL000107,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-06-26,2012-07-23,CLOSED,2013,2013-06-11,CRU,715.0,Carriageway - Uneven Surface,Combination Bruising/Swelling,
891,N2PUL000289,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Parks,2012-11-02,2012-12-06,CLOSED,2013,2013-06-11,Compensation payment,2250.0,Falls / Slips - Uneven surface,Bruising/Swelling,
892,N1EL000002,2011,Employers Liability,"CHILDREN, FAMILIES & LEARNERS",Monks Orchard,2011-08-17,2011-10-14,CLOSED,2013,2013-06-11,Compensation payment,2500.0,Other,Legs Cuts/Scars,
893,N0PUL000675,2010,Public Liability,CHIEF EXECUTIVES OFFICE,Estates & Valuation,2011-03-25,2011-05-05,CLOSED,2013,2013-06-11,CRU,2605.0,Defective Premises,Broken Bones,
894,N1PUL000164,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-10-16,2011-11-08,CLOSED,2013,2013-06-11,Fees TP Solicitor,5500.0,Footways - Roots,Broken Bones,
895,N0EL000016,2010,Employers Liability,CHIEF EXECUTIVES OFFICE,Asset & Facilities Management,2010-12-17,2011-12-21,CLOSED,2013,2013-06-11,Fees TP Solicitor,6000.0,"Ice, Snow & Frost",Back Strains/Sprains,
896,N1PUL000089,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-07-12,2011-08-17,CLOSED,2013,2013-06-11,Fees TP Solicitor,6000.0,Footways - Other,Legs Cuts/Scars,
897,N1PUL000164,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-10-16,2011-11-08,CLOSED,2013,2013-06-11,CRU,6895.9,Footways - Roots,Broken Bones,
898,N2PUL000069,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-05-22,2012-06-26,CLOSED,2013,2013-06-11,Fees Own Solicitor,8500.0,Footways - Uneven Surface,Combination Bruising/Swelling,
899,N1PUL000164,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-10-16,2011-11-08,CLOSED,2013,2013-06-11,Compensation payment,9000.0,Footways - Roots,Broken Bones,
900,N0EL000011,2010,Employers Liability,OPERATIONS NOT NOW INSURED,Westwood Language College For Girls,2010-03-10,2011-06-29,CLOSED,2013,2013-06-11,Compensation payment,9000.0,Lifting/Moving,Hand Injury,
901,N1PUL000136,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing - Other,2011-06-24,2011-09-28,CLOSED,2013,2013-06-11,Compensation payment,9200.0,Defective Equipment - Other,Ankle Broken/fractured,
902,N1PUL000299,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2011-05-23,2012-03-12,CLOSED,2013,2013-06-11,Fees TP Solicitor,10000.0,Footways - Pothole,Arms Broken Bones,
903,N0PUL000675,2010,Public Liability,CHIEF EXECUTIVES OFFICE,Estates & Valuation,2011-03-25,2011-05-05,CLOSED,2013,2013-06-11,Compensation payment,13000.0,Defective Premises,Broken Bones,
904,N2PUL000446,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2013-03-15,2013-03-21,CLOSED,2013,2013-06-17,Compensation payment,25.0,Trees / Branches - Falling,,Structural
905,N2PUL000136,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-07-17,2012-08-28,CLOSED,2013,2013-06-22,Fees Own Solicitor,1180.0,Footways - Uneven Surface,Bruising/Swelling,
906,N2PUL000136,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-07-17,2012-08-28,CLOSED,2013,2013-06-22,Compensation payment,5000.0,Footways - Uneven Surface,Bruising/Swelling,
907,N2PUL000136,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-07-17,2012-08-28,CLOSED,2013,2013-06-22,Fees TP Solicitor,17500.0,Footways - Uneven Surface,Bruising/Swelling,
908,N2PUL000393,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-02-14,2013-02-27,CLOSED,2013,2013-06-24,Compensation payment,65.0,Uncoded,,Vehicle
909,N2PUL000398,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-02-25,2013-03-01,CLOSED,2013,2013-06-24,Compensation payment,126.0,Carriageway - Pothole,,Vehicle
910,N2PUL000185,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2012-08-31,2012-10-03,CLOSED,2013,2013-06-24,Compensation payment,780.0,Tree Roots / Subsidence,,Structural
911,N1PUL000382,2011,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-03-07,2012-08-30,CLOSED,2013,2013-06-26,Compensation payment,3000.0,Footways - Manhole,Head Cuts/Scars,
912,N3PUL000007,2013,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-04-04,2013-04-16,CLOSED,2013,2013-06-28,Compensation payment,678.8,Carriageway - Pothole,,Vehicle
913,N0PUL000458,2010,Public Liability,DEVELOPMENT & ENVIRONMENT,Forestry,2010-11-22,2010-11-26,CLOSED,2013,2013-06-28,Fees Own Solicitor,837.0,Tree Roots / Subsidence,,Structural
914,N2PUL000354,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-01-28,2013-02-04,CLOSED,2013,2013-07-05,CRU,50.0,Footways - Other,Combination Bruising/Swelling,
915,N2PUL000354,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2013-01-28,2013-02-04,CLOSED,2013,2013-07-05,Compensation payment,525.0,Footways - Other,Combination Bruising/Swelling,
916,N2PUL000289,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Parks,2012-11-02,2012-12-06,CLOSED,2013,2013-07-05,CRU,553.5,Falls / Slips - Uneven surface,Bruising/Swelling,
917,N1EL000002,2011,Employers Liability,"CHILDREN, FAMILIES & LEARNERS",Monks Orchard,2011-08-17,2011-10-14,CLOSED,2013,2013-07-05,CRU,600.0,Other,Legs Cuts/Scars,
918,N2PUL000363,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Housing - Other,2013-02-08,2013-02-09,CLOSED,2013,2013-07-05,Compensation payment,750.0,Falls / Slips - Steps,Other:,
919,N2PUL000164,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-09-18,2012-09-20,CLOSED,2013,2013-07-05,CRU,958.0,Carriageway - Gulley,Combination,
920,N2FB000006,2012,Fire Blanket,DEVELOPMENT & ENVIRONMENT,HOUSING,2012-06-18,2012-06-22,CLOSED,2013,2013-07-05,Compensation payment,1044.0,Fire - Arson,,Electrics
921,N2PUL000107,2012,Public Liability,DEVELOPMENT & ENVIRONMENT,Highways,2012-06-26,2012-07-23,CLOSED,2013,2013-07-05,Compensation payment,1200.0,Carriageway - Uneven Surface,Combination Bruising/Swelling,
